id,domain,feed_url
111,ruck.co.uk,https://ruck.co.uk/feed
172,072info.com,https://072info.com/feed
176,112groningen.nl,https://112groningen.nl/feed
177,1630kcjj.com,https://1630kcjj.com/feed
181,360medical.ro,https://360medical.ro/rss
184,52banglatv.com,https://52banglatv.com/feed
186,a07online.com,https://a07online.com/rss.xml
187,abcgazetesi.com,https://abcgazetesi.com/rss
189,abconlinemedia.com,https://abconlinemedia.com/feed
192,adafruit.com,https://adafruit.com/blog/feed
193,adaymag.com,https://adaymag.com/feed
194,aek1924.gr,https://aek1924.gr/feed
195,afotopoulos.gr,https://afotopoulos.gr/feed
196,afyonpostasi.com.tr,https://afyonpostasi.com.tr/rss
197,ageliesergasias.gr,https://ageliesergasias.gr/feed
198,agriconnect.com,https://agriconnect.com/feed
200,agromedia.ro,https://agromedia.ro/feed
201,ahewar.org,https://ahewar.org/rss
202,aixmi-news.gr,https://aixmi-news.gr/feed
204,akos.ba,https://akos.ba/feed
207,alarab.co.uk,https://alarab.co.uk/rss.xml
209,alfahir.hu,https://alfahir.hu/feed
216,analyticsinsight.net,https://analyticsinsight.net/feed
219,android.com.pl,https://android.com.pl/feed
224,app.com.pk,https://app.com.pk/feed
225,arabi21.com,https://arabi21.com/feed
228,arenabodrumhaber.com,http://arenabodrumhaber.com/feed
231,arydigitalnetwork.tv,https://arydigitalnetwork.tv/feed
232,arynews.tv,https://arynews.tv/feed
236,atv.hu,https://atv.hu/feed
238,augustafreepress.com,https://augustafreepress.com/feed
241,aviation-defence-universe.com,http://aviation-defence-universe.com/feed
243,awesomestuff365.com,https://awesomestuff365.com/feed
244,aydinlik.com.tr,https://aydinlik.com.tr/feed
246,backyardgardenlover.com,https://backyardgardenlover.com/feed
247,balkanrock.com,https://balkanrock.com/feed
251,banglatv.tv,https://banglatv.tv/rss
252,bankingnews.gr,https://bankingnews.gr/rss
254,bantmag.com,https://bantmag.com/feed
255,bartabazar.com,https://bartabazar.com/feed
256,basketa.gr,https://basketa.gr/feed
257,baslattusu.com,https://baslattusu.com/feed
259,batmancagdas.com,http://batmancagdas.com/rss
262,beebom.com,https://beebom.com/feed
264,benguturk.com,https://benguturk.com/rss
265,betanews.com,https://betanews.com/feed
266,bezuzyteczna.pl,https://bezuzyteczna.pl/feed
272,biplabisabyasachi.com,https://biplabisabyasachi.com/feed
273,biziday.ro,https://biziday.ro/feed
274,blacksouthernbelle.com,https://blacksouthernbelle.com/feed
278,blendernation.com,https://blendernation.com/feed
279,blife.gr,https://blife.gr/feed
282,bloko.gr,https://bloko.gr/rss.xml
284,blueprint.ng,https://blueprint.ng/feed
